CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
CID-000001,Williams324,628,France,Male,75,8,111878.29,1,0,0,159880.2,No
CID-000002,Davis4257,832,France,Male,41,1,224672.86,1,0,0,68182.59,No
CID-000003,Brown1035,645,Germany,Female,41,5,81161.78,2,1,0,197136.94,No
CID-000004,Ali3938,702,Germany,Male,45,0,59953.27,1,0,1,103720.64,No
CID-000005,Cohen3302,642,France,Female,81,6,129309.78,3,0,1,126041.38,No
CID-000006,Brown5488,382,Spain,Female,90,3,187953.19,2,1,0,153385.74,Yes
CID-000007,Park9025,838,Spain,Male,67,2,214831.54,2,1,0,197485.41,Yes
CID-000008,Wong4754,834,Spain,Male,89,7,193465.93,2,1,0,128545.64,No
CID-000009,Park3704,524,France,Female,32,0,219944.34,2,1,0,105676.83,Yes
CID-000010,Nguyen8622,740,France,Female,60,3,100899.81,3,1,0,199200.75,No
CID-000011,Smith5706,671,France,Female,46,10,87600.1,1,1,0,101215.6,No
CID-000012,Tanaka2429,589,Germany,Male,64,4,136615.72,2,0,1,21593.22,Yes
CID-000013,Khan2347,812,Germany,Male,52,9,10513.15,1,0,0,161242.8,No
CID-000014,Diaz4944,829,Spain,Male,44,10,139526.08,1,1,1,196068.37,No
CID-000015,Brown1835,678,Germany,Female,25,0,207339.76,1,0,0,14377.82,Yes
CID-000016,Lee1862,424,Spain,Female,88,10,227824.17,2,1,1,15576.61,No
CID-000017,Kim1336,585,France,Female,66,5,221612.79,2,0,0,40634.77,No
CID-000018,Brown7861,565,Germany,Female,28,1,204597.55,1,1,0,50738.39,No
CID-000019,Singh6375,823,Spain,Male,50,0,225184.95,2,0,1,89427.21,No
CID-000020,Cohen3246,779,France,Male,52,6,124648.14,2,0,1,30044.48,No
CID-000021,Mendoza4425,388,France,Female,50,7,192482.51,2,0,1,112498.37,No
CID-000022,Mendoza2586,748,France,Male,42,10,73177.19,2,1,0,59252.67,No
CID-000023,Singh9235,359,Spain,Female,68,7,190153.99,1,1,0,173501.99,No
CID-000024,Lee8419,683,France,Female,88,2,6647.88,1,0,0,178752.79,Yes
CID-000025,Khan4028,676,Spain,Male,19,2,230689.4,3,1,1,97356.11,No
CID-000026,Patel8434,706,Spain,Male,64,3,102420.8,2,1,1,23385.12,No
CID-000027,Mendoza791,754,France,Male,44,1,21561.02,2,1,1,103989.96,No
CID-000028,Khan600,356,France,Male,19,4,165977.92,1,1,1,76329.36,No
CID-000029,Davis7975,788,,Male,67,3,177597.97,1,1,0,67954.79,Yes
CID-000030,Nguyen2245,460,France,Female,29,8,156120.42,1,1,0,27894.67,No
CID-000031,Ali5185,770,France,Male,58,10,26707.85,2,1,1,20339.5,No
CID-000032,Khan3158,769,Germany,Female,40,1,94631.35,1,1,1,181124.69,Yes
CID-000033,Lee7105,392,Germany,Male,21,2,77345.52,1,1,0,149576.82,No
CID-000034,Tanaka4802,774,Germany,Male,62,8,61832.36,3,1,0,176473.5,Yes
CID-000035,Singh7898,632,Germany,Female,39,5,48939.29,1,1,0,198573.0,Yes
CID-000036,Rossi4299,598,Germany,Female,59,3,236210.55,4,0,1,151036.84,Yes
CID-000037,Ali1380,775,Germany,Female,47,0,10586.4,2,0,1,90193.12,No
CID-000038,Williams332,708,France,Male,88,3,218463.26,1,1,0,101901.57,Yes
CID-000039,Cohen1060,382,Germany,Male,31,3,102638.44,4,0,1,,No
CID-000040,Wong7182,793,,Female,83,6,147775.0,1,0,1,107392.38,No
CID-000041,Singh7065,374,Germany,Female,65,7,226165.09,2,0,0,49472.57,No
CID-000042,Jones4790,370,France,Male,89,9,50611.77,2,0,0,79245.56,No
CID-000043,Nguyen7760,474,Germany,Female,23,4,223147.55,2,0,1,51025.48,No
CID-000044,Ali9737,822,Germany,Female,25,8,216289.67,1,1,1,32616.22,No
CID-000045,Brown41,645,France,Female,22,7,150167.29,2,1,1,195645.93,No
CID-000046,Nguyen4426,521,Germany,Female,25,7,242473.19,2,1,0,56750.71,Yes
CID-000047,Nguyen5772,795,Spain,Male,26,6,158468.62,2,0,0,194004.52,No
CID-000048,Tanaka9146,509,Spain,Male,38,6,239689.85,2,1,1,165056.05,No
CID-000049,Williams6826,367,France,Male,39,6,138661.64,1,0,1,49461.92,No
CID-000050,Kim9396,763,France,Female,47,7,189321.61,1,0,0,161207.15,No
CID-000051,Nguyen8423,608,France,Female,67,1,96229.96,2,1,1,35691.56,No
CID-000052,Khan2759,408,Germany,Male,34,1,147833.73,1,1,1,132630.09,No
CID-000053,Cohen3865,583,Spain,Female,27,3,160782.6,1,1,1,43079.2,No
CID-000054,Tanaka8695,492,France,Female,78,4,47927.07,3,0,0,54552.23,Yes
CID-000055,Diaz2804,628,Germany,Female,74,4,67031.24,1,1,0,145028.43,Yes
CID-000056,Garcia8718,367,Germany,Male,60,6,31124.2,2,1,1,39833.67,No
CID-000057,Singh613,773,France,Male,87,10,240171.5,1,1,0,63716.09,No
CID-000058,Jones3366,787,Germany,Male,87,2,154338.8,1,1,0,34560.81,Yes
CID-000059,Singh8669,792,France,Female,67,4,83363.71,1,0,1,170272.82,No
CID-000060,Cohen9230,730,France,Male,56,10,223148.54,4,1,0,,No
CID-000061,Patel2757,707,Germany,Male,80,4,121525.77,1,1,1,22963.78,No
CID-000062,Tanaka3311,560,Spain,Male,44,5,97027.52,1,1,0,52305.49,No
CID-000063,Rossi9662,701,Germany,Male,73,8,108436.82,3,0,1,155027.14,No
CID-000064,Khan4517,801,France,Female,89,5,53587.08,2,1,0,98228.08,No
CID-000065,Lee7653,821,France,Female,88,8,86434.75,2,0,0,159915.32,Yes
CID-000066,Nguyen1710,459,France,Female,54,8,76722.6,2,0,1,145219.15,No
CID-000067,Diaz7641,726,France,Male,77,2,164077.18,2,1,1,28217.26,No
CID-000068,Cohen1205,352,Spain,Male,79,3,78143.05,1,0,1,99745.83,No
CID-000069,Tanaka1432,549,France,Male,68,8,6766.86,3,1,0,128247.42,No
CID-000070,Wong112,426,Germany,Male,36,2,129026.97,1,1,0,159239.43,Yes
CID-000071,Brown1237,554,France,Female,56,8,17688.49,2,1,0,156112.17,No
CID-000072,Cohen3931,530,France,Female,55,8,60746.58,3,1,1,77140.2,No
CID-000073,Patel4465,463,France,Female,60,2,112213.13,4,1,1,41613.84,No
CID-000074,Ali2330,781,Spain,Female,62,5,76687.52,2,1,0,175986.28,Yes
CID-000075,Wong5532,451,Spain,Male,86,1,119486.23,2,1,1,132122.43,No
CID-000076,Garcia4363,724,France,Female,88,4,81431.48,4,1,1,43923.3,No
CID-000077,Nguyen8367,450,Germany,Male,86,2,98159.48,2,0,1,86544.74,Yes
CID-000078,Mendoza9229,541,France,Male,83,3,30779.89,1,1,0,122663.99,No
CID-000079,Lee6357,630,Spain,Male,86,10,26878.12,2,1,1,40084.8,No
CID-000080,Garcia5295,460,Germany,Male,48,7,77643.68,2,1,0,87493.21,No
CID-000081,Garcia2799,529,Spain,Female,28,6,101002.28,1,1,1,174897.4,No
CID-000082,Rossi7589,510,France,Male,56,7,106902.96,1,1,0,21209.51,No
CID-000083,Diaz6975,535,Spain,Female,69,10,225333.77,2,1,1,93027.85,No
CID-000084,Park9975,618,France,Male,44,1,123596.18,1,0,1,61992.42,No
CID-000085,Singh6591,424,Spain,Male,33,1,14180.54,2,1,0,48180.68,No
CID-000086,Davis5288,760,France,Female,67,1,21916.17,1,1,0,57212.08,Yes
CID-000087,Park3865,613,Germany,Female,20,9,139514.52,1,0,1,97648.74,No
CID-000088,Williams261,480,Germany,Male,24,4,132598.8,1,0,0,195781.0,Yes
CID-000089,Singh2863,751,France,Female,83,2,196643.13,1,1,1,38225.3,No
CID-000090,Nguyen1037,725,Spain,Female,52,0,102645.51,1,1,0,35676.45,Yes
CID-000091,Park6901,472,Spain,Female,43,1,34181.67,1,1,0,193798.95,No
CID-000092,Park6207,408,France,Female,37,2,73410.18,2,1,0,190066.29,No
CID-000093,Smith9988,558,Spain,Female,68,5,212257.52,4,1,1,132409.39,No
CID-000094,Rossi8609,446,Spain,Male,55,4,149984.55,2,1,1,70416.69,No
CID-000095,Diaz8830,522,Spain,Male,65,4,114060.0,1,1,0,148358.11,No
CID-000096,Wong4714,502,Germany,Male,84,6,182323.05,1,1,1,64380.99,No
CID-000097,Khan302,773,Spain,Female,53,5,124404.88,2,0,1,57012.74,No
CID-000098,Mendoza272,566,France,Female,26,0,209883.17,1,0,0,126093.02,No
CID-000099,Davis8364,674,France,Female,46,8,233351.3,1,1,1,171700.93,No
CID-000100,Smith9350,708,France,Male,34,3,118146.33,1,1,0,195106.86,No
CID-000101,Tanaka4430,362,Spain,Male,49,7,196591.17,1,1,0,48889.14,No
CID-000102,Smith7147,478,Germany,Female,88,0,215073.21,2,0,0,66423.63,Yes
CID-000103,Jones8136,455,Germany,Female,90,6,183160.73,1,1,0,64720.01,No
CID-000104,Davis1448,617,France,Male,33,2,150027.4,1,1,1,,No
CID-000105,Tanaka5570,631,France,Male,28,9,225462.49,2,1,1,37920.01,No
CID-000106,Garcia6979,395,Germany,Female,30,3,32620.92,1,1,1,20126.38,No
CID-000107,Brown2649,435,Spain,Female,78,1,51532.39,2,1,0,94055.21,Yes
CID-000108,Khan9611,598,Germany,Female,30,2,71769.38,1,1,0,177572.76,No
CID-000109,Cohen2527,834,France,Female,63,1,45096.65,1,1,1,142745.06,No
CID-000110,Khan9725,474,France,Female,18,7,200473.13,1,0,0,90912.71,No
CID-000111,Diaz3341,467,Germany,Male,32,0,91386.59,2,1,1,40344.11,No
CID-000112,Diaz2737,729,Spain,Male,83,5,49285.96,1,1,1,103469.18,No
CID-000113,Wong2962,520,Germany,Male,86,3,24701.23,1,1,1,185015.46,No
CID-000114,Rossi651,576,France,Female,75,0,185707.28,1,0,1,51344.34,No
CID-000115,Singh9749,487,France,Male,46,8,73808.71,2,0,1,149732.52,No
CID-000116,Nguyen5803,718,France,Male,33,2,219419.75,2,0,1,54393.71,No
CID-000117,Jones7691,420,France,Male,47,7,146482.5,4,0,1,81195.44,No
CID-000118,Williams3532,844,,Male,68,7,81162.37,1,0,0,38288.96,No
CID-000119,Jones7591,414,France,Female,47,3,87868.18,1,0,1,176539.32,No
CID-000120,Kim5539,703,France,Male,57,6,231885.47,1,1,0,164030.41,No
CID-000121,Davis2535,580,France,Female,23,3,32604.26,2,1,1,156456.01,No
CID-000122,Smith1626,472,France,Female,83,7,46193.33,1,0,1,,No
CID-000123,Jones9684,592,France,Male,60,7,9240.91,1,1,0,79111.78,No
CID-000124,Rossi1271,674,Spain,Female,32,2,131585.98,2,0,1,11347.16,No
CID-000125,Ali6577,453,Spain,Female,30,5,197964.91,3,0,0,194799.02,No
CID-000126,Mendoza1766,541,France,Female,28,2,174478.28,2,0,1,45742.21,No
CID-000127,Tanaka9418,499,Spain,Male,28,6,15515.59,3,1,0,74912.69,No
CID-000128,Ali9545,822,France,Female,76,5,152951.73,2,1,0,194819.06,Yes
CID-000129,Kim29,384,Germany,Female,90,4,211531.05,2,1,1,85408.16,Yes
CID-000130,Lee7064,464,Germany,Male,46,4,41347.21,1,0,1,170766.23,No
CID-000131,Park7059,643,Spain,Male,54,8,6927.96,1,1,0,102902.85,No
CID-000132,Garcia3775,845,France,Female,28,0,158271.45,3,1,0,184446.93,No
CID-000133,Patel7448,714,Germany,Male,83,7,221935.4,2,1,0,121462.52,Yes
CID-000134,Wong8974,568,Spain,Female,54,10,129854.69,2,0,0,22153.12,No
CID-000135,Cohen881,441,Spain,Male,38,9,528.99,3,0,1,47394.39,No
CID-000136,Lee5269,484,Spain,Male,52,3,865.35,2,0,1,123686.67,No
CID-000137,Singh48,364,France,Male,85,0,28770.33,2,1,0,11427.91,Yes
CID-000138,Tanaka1084,607,Spain,Male,84,8,25515.66,1,1,1,123761.5,No
CID-000139,Mendoza9806,759,Spain,Male,76,6,115052.2,1,1,1,131336.1,No
CID-000140,Brown5641,474,Spain,Male,35,10,220151.04,2,1,1,163870.4,No
CID-000141,Tanaka2668,671,Germany,Male,75,4,50494.96,1,0,1,88955.34,No
CID-000142,Tanaka5995,587,France,Male,55,4,112923.88,1,0,0,182596.57,No
CID-000143,Cohen2008,480,France,Female,59,3,192183.49,1,0,0,16367.6,No
CID-000144,Smith2976,474,Germany,Female,20,4,155754.89,1,1,0,85126.53,Yes
CID-000145,Ali68,470,Germany,Male,58,2,237039.91,2,0,0,78234.91,Yes
CID-000146,Rossi2277,720,Germany,Male,36,8,167810.27,1,1,1,24078.51,No
CID-000147,Tanaka5962,741,France,Female,32,0,172529.83,1,1,0,99762.92,Yes
CID-000148,Davis2155,713,France,Female,77,8,8945.74,2,0,1,144561.73,No
CID-000149,Kim3996,684,France,Female,66,9,213568.02,1,1,1,52664.71,No
CID-000150,Mendoza3821,377,Spain,Female,20,7,2505.06,1,1,0,165506.52,No
CID-000151,Singh5468,619,Spain,Female,86,0,146167.74,2,1,0,194436.75,Yes
CID-000152,Mendoza812,811,Spain,Female,50,6,146426.01,2,1,0,115365.36,No
CID-000153,Davis1041,389,Germany,Female,22,7,207810.87,1,1,0,60545.22,No
CID-000154,Kim3727,681,Spain,Male,80,3,240862.1,2,1,1,118287.49,No
CID-000155,Ali1843,840,France,Female,53,6,69340.61,3,1,1,189546.83,No
CID-000156,Park491,550,France,Female,80,7,170584.3,2,0,1,94473.4,No
CID-000157,Cohen5148,385,Germany,Male,25,1,11939.18,2,1,1,128654.46,No
CID-000158,Diaz7722,806,France,Female,25,8,239218.34,1,1,0,85222.7,No
CID-000159,Williams1399,461,Germany,Male,42,7,179434.66,2,1,1,148586.9,No
CID-000160,Kim6512,567,Spain,Male,66,10,21830.05,2,0,1,48150.26,No
CID-000161,Tanaka4495,619,Spain,Male,63,8,153875.09,1,1,1,177455.48,No
CID-000162,Brown1859,597,Germany,Male,60,6,209031.48,2,0,0,26564.4,Yes
CID-000163,Brown3629,725,Germany,Male,51,8,185164.95,1,0,1,155324.57,No
CID-000164,Khan9020,460,Spain,Male,58,5,226036.94,1,1,0,183010.18,No
CID-000165,Mendoza8659,694,France,Male,40,0,157227.74,1,1,1,57454.98,No
CID-000166,Kim3855,513,France,Female,85,5,240768.17,2,1,1,154273.41,No
CID-000167,Cohen2120,453,Spain,Male,46,1,44525.98,1,0,0,155317.41,Yes
CID-000168,Diaz2796,363,France,Male,83,0,207783.21,2,1,1,70832.2,Yes
CID-000169,Lee4001,789,France,Female,56,3,38636.9,2,1,0,135235.6,No
CID-000170,Garcia8538,607,France,Male,83,7,14809.14,2,1,1,106460.92,No
CID-000171,Mendoza6264,831,Germany,Male,90,0,215357.61,1,1,0,37553.72,Yes
CID-000172,Kim4891,384,France,Female,83,2,138808.63,2,1,1,176894.19,No
CID-000173,Rossi5796,394,Germany,Male,73,1,127238.72,3,0,0,176494.94,Yes
CID-000174,Singh9301,711,Spain,Female,42,4,229099.32,1,1,1,,No
CID-000175,Diaz2476,371,France,Male,66,7,237325.81,2,1,0,27581.42,Yes
CID-000176,Patel5713,685,Germany,Male,27,0,233432.75,4,0,1,89706.45,Yes
CID-000177,Jones7344,350,France,Female,28,1,45519.4,1,1,1,96105.5,No
CID-000178,Rossi1860,528,Spain,Female,76,2,149207.47,1,1,1,39724.2,No
CID-000179,Khan8165,362,Spain,Female,40,1,113174.93,2,0,1,35179.39,No
CID-000180,Tanaka3478,826,Spain,Female,86,3,170323.77,1,1,0,56145.88,Yes
CID-000181,Brown7707,520,France,Male,86,7,107149.03,1,1,0,58436.53,No
CID-000182,Davis9403,722,Germany,Male,46,3,119484.65,3,1,0,156741.19,No
CID-000183,Davis9656,823,France,Male,89,2,203276.5,1,1,0,127440.37,Yes
CID-000184,Singh267,571,Germany,Male,50,10,129355.2,1,1,0,157685.51,No
CID-000185,Diaz9864,528,France,Male,52,10,161762.76,1,0,1,50325.27,No
CID-000186,Davis6530,640,Germany,Female,57,3,248919.09,1,0,1,170090.68,Yes
CID-000187,Rossi9946,571,France,Male,90,5,98653.53,2,0,1,176851.26,No
CID-000188,Garcia8733,801,Germany,Male,87,6,8195.93,1,0,0,27100.23,Yes
CID-000189,Rossi4375,546,Germany,Male,33,8,78894.77,1,1,1,197945.1,No
CID-000190,Lee3634,507,France,Female,39,2,18707.25,2,1,0,186217.13,No
CID-000191,Singh1181,653,Germany,Male,29,3,105744.34,1,1,1,25892.61,No
CID-000192,Diaz3958,492,France,Female,70,6,41303.99,2,1,0,90857.44,Yes
CID-000193,Nguyen1391,462,France,Male,57,3,113090.42,1,1,1,148894.23,No
CID-000194,Smith2404,476,Germany,Female,63,4,97923.62,1,1,0,197861.67,Yes
CID-000195,Jones9648,602,Germany,Female,49,3,32691.33,1,1,0,143591.87,No
CID-000196,Khan5129,696,Spain,Male,73,10,39049.88,1,1,1,22400.83,No
CID-000197,Jones8107,507,France,Female,28,10,125002.65,2,1,0,154439.19,No
CID-000198,Singh2047,780,Spain,Male,33,5,210012.64,1,1,1,21031.42,No
CID-000199,Lee7474,709,Germany,Male,41,2,115742.12,1,1,0,122463.44,Yes
CID-000200,Garcia9699,753,Germany,Male,79,0,188942.47,1,0,1,139326.61,No
CID-000201,Ali5804,768,Germany,Male,84,10,134220.64,1,0,1,50568.46,No
CID-000202,Khan3526,777,France,Female,79,10,35487.97,2,1,1,59956.97,No
CID-000203,Wong9688,546,France,Female,30,2,149801.38,1,1,0,45413.77,No
CID-000204,Nguyen4643,797,France,Male,87,5,180607.49,1,1,1,126782.19,No
CID-000205,Wong2477,576,Germany,Male,37,6,131385.14,1,1,0,71082.87,Yes
CID-000206,Lee1250,816,Germany,Female,18,8,161134.92,2,0,0,104336.47,No
CID-000207,Khan7450,726,France,Female,46,1,135566.23,2,1,1,134346.99,No
CID-000208,Kim5771,659,Spain,Female,41,5,220455.54,1,1,0,114165.49,No
CID-000209,Garcia216,708,Germany,Male,29,6,81555.65,1,1,0,80468.01,No
CID-000210,Williams7556,783,Germany,Male,43,2,7465.36,1,1,0,145793.35,Yes
CID-000211,Singh742,722,Germany,Female,39,2,48749.74,1,1,0,18054.26,No
CID-000212,Rossi5123,764,France,Male,55,10,220759.46,1,1,0,119208.47,No
CID-000213,Tanaka5577,461,France,Male,74,1,46062.67,1,1,1,99593.72,No
CID-000214,Williams3742,569,Spain,Female,41,4,20136.6,2,1,0,97657.67,No
CID-000215,Brown8977,585,Spain,Male,60,6,93076.16,4,1,1,86540.59,No
CID-000216,Wong9471,763,France,Male,72,3,73004.23,1,0,0,195601.68,Yes
CID-000217,Nguyen1345,772,France,Female,60,5,124921.35,1,1,0,32715.43,Yes
CID-000218,Davis3234,670,Germany,Male,47,4,9430.15,1,0,0,24303.91,No
CID-000219,Brown9539,843,Spain,Male,74,9,228129.86,1,0,1,166847.0,No
CID-000220,Mendoza6527,742,Germany,Male,68,5,114908.27,1,1,1,94188.75,No
CID-000221,Singh5050,763,Germany,Female,54,10,83297.0,1,1,1,97361.0,No
CID-000222,Ali3286,748,Germany,Female,59,4,157112.73,1,1,1,14667.34,No
CID-000223,Nguyen6062,441,Spain,Male,29,3,208186.49,1,1,1,97984.42,No
CID-000224,Diaz5754,626,Spain,Female,41,4,101615.03,1,1,1,32544.08,No
CID-000225,Mendoza4659,680,France,Male,21,0,85205.86,2,1,1,152761.23,No
CID-000226,Davis5023,755,France,Male,31,8,208123.3,2,1,0,63181.32,Yes
CID-000227,Cohen7481,772,Spain,Male,74,5,28731.0,3,1,1,103496.29,No
CID-000228,Williams4543,634,Germany,Male,24,2,65804.59,1,1,1,111051.72,No
CID-000229,Kim1889,623,Spain,Female,49,6,22088.36,1,1,0,81418.31,No
CID-000230,Ali8267,609,Spain,Male,53,7,177448.78,3,1,1,64986.09,No
CID-000231,Garcia1133,615,Spain,Male,81,5,23521.92,2,1,0,144809.74,Yes
CID-000232,Park7256,668,France,Male,21,7,137055.63,1,1,1,,No
CID-000233,Smith3111,705,France,Male,55,1,64981.92,2,1,0,75911.0,No
CID-000234,Khan6763,764,France,Male,40,6,35441.18,1,1,0,117497.91,No
CID-000235,Khan2196,825,France,Male,73,10,129144.18,2,0,0,158121.33,No
CID-000236,Kim4430,531,France,Male,62,3,82254.23,2,1,0,113583.72,Yes
CID-000237,Lee5872,799,France,Female,75,7,186662.33,2,1,0,120458.91,No
CID-000238,Rossi4737,760,Germany,Male,53,1,88822.13,2,1,0,80696.29,Yes
CID-000239,Nguyen6994,806,France,Male,42,2,201396.32,1,1,0,148081.92,No
CID-000240,Patel3801,359,Germany,Female,81,10,197942.0,1,0,1,84828.31,No
CID-000241,Smith6377,397,France,Male,72,4,126848.39,2,0,1,171176.99,No
CID-000242,Davis9691,506,Germany,Male,35,0,4475.3,1,1,1,38513.67,No
CID-000243,Lee688,686,Spain,Male,38,7,202790.94,1,1,0,168623.76,Yes
CID-000244,Park7197,661,France,Female,45,5,24733.53,1,1,1,90758.96,No
CID-000245,Lee2728,353,France,Male,57,10,19961.85,1,1,0,61656.37,No
CID-000246,Nguyen1528,750,France,Female,86,5,7842.88,1,0,1,42172.41,No
CID-000247,Tanaka8498,404,Germany,Male,83,4,232226.59,1,0,1,165963.48,No
CID-000248,Wong8917,534,France,Male,53,2,135605.76,1,1,1,100742.4,No
CID-000249,Kim3633,830,Spain,Female,30,0,222980.89,4,1,0,67229.72,Yes
CID-000250,Diaz2064,378,France,Female,78,9,34205.69,3,1,0,119840.88,No
CID-000251,Singh3565,750,Spain,Male,71,9,190560.87,3,1,0,18761.15,No
CID-000252,Ali1595,597,France,Male,64,6,216441.51,1,1,0,41806.98,No
CID-000253,Khan4399,555,France,Male,28,4,219684.65,1,1,0,159890.14,No
CID-000254,Lee4986,408,France,Female,29,4,78113.24,2,0,1,141786.59,No
CID-000255,Lee1523,491,France,Male,68,3,92925.07,2,1,1,121143.04,No
CID-000256,Williams7122,642,France,Male,89,2,48105.27,1,1,1,32752.15,No
CID-000257,Singh4044,404,Germany,Female,52,7,151068.83,1,0,0,116844.63,Yes
CID-000258,Brown7132,511,France,Female,36,9,231632.8,2,0,0,68371.09,No
CID-000259,Park7185,632,,Female,36,8,11963.08,3,1,0,84031.8,No
CID-000260,Cohen6767,528,France,Male,26,2,53520.04,1,1,0,57256.97,No
CID-000261,Park1385,754,France,Female,75,7,129053.39,2,1,0,149590.85,Yes
CID-000262,Smith6687,479,Germany,Male,27,0,39319.77,1,1,1,145827.76,No
CID-000263,Patel2623,372,Spain,Female,48,0,106335.73,1,0,0,138237.12,Yes
CID-000264,Khan8026,613,France,Male,61,4,168464.75,1,0,1,48001.33,No
CID-000265,Khan7543,840,Germany,Female,83,9,127279.84,2,0,1,96937.28,No
CID-000266,Jones7831,385,France,Male,46,6,168406.81,1,1,1,181213.34,No
CID-000267,Rossi744,686,Germany,Female,34,3,1103.06,2,1,1,16837.63,No
CID-000268,Diaz8341,412,Germany,Male,20,0,195955.63,2,1,1,169981.98,Yes
CID-000269,Diaz8738,361,Germany,Male,51,3,48163.55,1,1,0,127542.73,No
CID-000270,Patel1537,750,France,Male,46,4,226478.03,1,0,1,102190.51,No
CID-000271,Diaz5829,647,France,Male,28,4,27245.8,3,0,1,190755.9,No
